"year","month","time","ts","hhi.fmax","hhi.max","hhi.sum","hhi.avg","duration","ts.start","ts.stop"
1704,8,"1704-8-15 00:00:00",1704.62,-2.6761040802174,-2.343298,-8.099508,-1.6199016,5,1704.54,1704.88
2025,6,"2025-6-15 00:00:00",2025.46,-2.65198329604799,-2.5193,-8.080688,-1.6161376,5,2025.21,2025.54
1806,8,"1806-8-15 00:00:00",1806.62,-2.11105723887424,-1.992969,-8.044689,-1.3407815,6,1806.29,1806.71
1848,1,"1848-1-15 00:00:00",1848.04,-2.81404781938327,-2.528333,-8.026187,-2.00654675,4,1847.88,1848.12
1717,11,"1717-11-15 00:00:00",1717.88,-2.51877956756408,-2.528333,-8.021302,-2.0053255,4,1717.62,1717.88
1875,5,"1875-5-15 00:00:00",1875.38,-2.44561809851915,-2.528333,-7.913789,-1.97844725,4,1875.12,1875.38
1932,2,"1932-2-15 00:00:00",1932.12,-1.8051852230398,-2.112398,-7.881443,-1.5762886,5,1931.88,1932.21
1964,8,"1964-8-15 00:00:00",1964.62,-2.874888732118,-2.391188,-7.864554,-1.9661385,4,1964.46,1964.71
1876,8,"1876-8-15 00:00:00",1876.62,-2.20213118594546,-2.230214,-7.844582,-1.9611455,4,1876.38,1876.62
1532,8,"1532-8-15 00:00:00",1532.62,-2.34919686235403,-2.112398,-7.837194,-1.9592985,4,1532.54,1532.79
1656,8,"1656-8-15 00:00:00",1656.62,-2.38406649567125,-2.112398,-7.724796,-1.931199,4,1656.54,1656.79
2011,5,"2011-5-15 00:00:00",2011.38,-2.38841357385239,-2.4181,-7.63748,-1.90937,4,2011.21,2011.46
1523,10,"1523-10-15 00:00:00",1523.79,-2.40793224331005,-2.112398,-7.626489,-1.90662225,4,1523.54,1523.79
1518,6,"1518-6-15 00:00:00",1518.46,-2.38652248402638,-2,-7.574888,-1.893722,4,1518.38,1518.62
1765,8,"1765-8-15 00:00:00",1765.62,-2.29076918383556,-2.112398,-7.497854,-1.8744635,4,1765.38,1765.62
1826,3,"1826-3-15 00:00:00",1826.21,-2.31509376007941,-1.992969,-7.484747,-1.4969494,5,1826.04,1826.38
1787,3,"1787-3-15 00:00:00",1787.21,-2.41007087032487,-2.230214,-7.426677,-1.85666925,4,1787.04,1787.29
1883,6,"1883-6-15 00:00:00",1883.46,-3.02545959487631,-2.672504,-7.380824,-2.46027466666667,3,1883.29,1883.46
1547,8,"1547-8-15 00:00:00",1547.62,-2.12207688386228,-2.149888,-7.33932,-1.83483,4,1547.54,1547.79
1989,6,"1989-6-15 00:00:00",1989.46,-2.19898563033833,-1.885456,-7.228643,-1.4457286,5,1989.38,1989.71
1964,1,"1964-1-15 00:00:00",1964.04,-2.41307011971454,-2,-7.196463,-1.79911575,4,1963.96,1964.21
1538,8,"1538-8-15 00:00:00",1538.62,-2.28681666591299,-2,-7.189432,-1.797358,4,1538.54,1538.79
1738,12,"1738-12-15 00:00:00",1738.96,-2.66979167507589,-2,-7.189432,-1.797358,4,1738.88,1739.12
1953,5,"1953-5-15 00:00:00",1953.38,-3.508545546492,-2.595922,-7.124255,-2.37475166666667,3,1953.21,1953.38
1768,3,"1768-3-15 00:00:00",1768.21,-2.64437599233286,-2.112398,-7.114368,-1.778592,4,1767.96,1768.21
1918,8,"1918-8-15 00:00:00",1918.62,-2.19635711107725,-2.009837,-7.093726,-1.7734315,4,1918.38,1918.62
1558,9,"1558-9-15 00:00:00",1558.71,-2.41299456706421,-1.992969,-7.074888,-1.768722,4,1558.54,1558.79
1683,12,"1683-12-15 00:00:00",1683.96,-2.20959326202696,-1.992969,-7.074888,-1.768722,4,1683.79,1684.04
1735,4,"1735-4-15 00:00:00",1735.29,-2.58637725382946,-1.992969,-7.074888,-1.768722,4,1735.12,1735.38
1724,8,"1724-8-15 00:00:00",1724.62,-2.18397347952056,-2.112398,-7.05368,-1.76342,4,1724.46,1724.71
1797,2,"1797-2-15 00:00:00",1797.12,-2.37728390013104,-2.112398,-7.05368,-1.76342,4,1796.96,1797.21
1923,8,"1923-8-15 00:00:00",1923.62,-2.36826955337967,-2.112398,-7.05368,-1.76342,4,1923.46,1923.71
1738,3,"1738-3-15 00:00:00",1738.21,-2.17786990799783,-1.992969,-6.968577,-1.3937154,5,1737.88,1738.21
1997,9,"1997-9-15 00:00:00",1997.71,-2.38290836631955,-2,-6.96541,-1.7413525,4,1997.62,1997.88
1667,7,"1667-7-15 00:00:00",1667.54,-2.2180047148571,-2.112398,-6.934251,-1.73356275,4,1667.29,1667.54
1928,9,"1928-9-15 00:00:00",1928.71,-2.17034829175283,-2.009837,-6.856093,-1.3712186,5,1928.38,1928.71
1856,3,"1856-3-15 00:00:00",1856.21,-1.9799166643502,-2.230214,-6.779964,-1.3559928,5,1855.88,1856.21
1973,3,"1973-3-15 00:00:00",1973.21,-2.56398479836882,-2.112398,-6.750121,-1.68753025,4,1973.04,1973.29
1969,10,"1969-10-15 00:00:00",1969.79,-2.10121792766909,-2,-6.698433,-1.67460825,4,1969.71,1969.96
1886,2,"1886-2-15 00:00:00",1886.12,-1.71722193279099,-1.885456,-6.672071,-1.3344142,5,1886.04,1886.38
1863,5,"1863-5-15 00:00:00",1863.38,-1.90220035864975,-1.696463,-6.632695,-1.10544916666667,6,1862.96,1863.38
1868,8,"1868-8-15 00:00:00",1868.62,-1.69368840414117,-1.696463,-6.608292,-1.3216584,5,1868.38,1868.71
1943,3,"1943-3-15 00:00:00",1943.21,-1.54510173615187,-1.696463,-6.608292,-1.3216584,5,1942.96,1943.29
1860,5,"1860-5-15 00:00:00",1860.38,-1.93755497740529,-1.885456,-6.583889,-1.64597225,4,1860.29,1860.54
1900,9,"1900-9-15 00:00:00",1900.71,-1.40050940525087,-1.885456,-6.56379,-1.093965,6,1900.29,1900.71
1887,4,"1887-4-15 00:00:00",1887.29,-2.9377836200274,-2.528333,-6.528333,-2.176111,3,1887.12,1887.29
1605,10,"1605-10-15 00:00:00",1605.79,-2.19575984088622,-1.992969,-6.518316,-1.629579,4,1605.62,1605.88
1546,2,"1546-2-15 00:00:00",1546.12,-2.73440115606031,-2.255038,-6.3955,-2.13183333333333,3,1546.04,1546.21
1657,7,"1657-7-15 00:00:00",1657.54,-2.20982626567136,-2.112398,-6.3139,-1.578475,4,1657.29,1657.54
1993,4,"1993-4-15 00:00:00",1993.29,-2.80291565139428,-2.112398,-6.224796,-2.074932,3,1993.21,1993.38
1512,2,"1512-2-15 00:00:00",1512.12,-2.26560004020853,-1.885456,-6.027317,-1.50682925,4,1512.04,1512.29
1863,8,"1863-8-15 00:00:00",1863.62,-2.56751847987325,-2.45109,-5.967151,-1.98905033333333,3,1863.54,1863.71
1741,12,"1741-12-15 00:00:00",1741.96,-1.51909199513823,-1.50197,-5.943439,-0.990573166666667,6,1741.62,1742.04
1740,2,"1740-2-15 00:00:00",1740.12,-2.43555211379853,-2.230214,-5.940768,-1.980256,3,1740.04,1740.21
2014,3,"2014-3-15 00:00:00",2014.21,-1.93684343498709,-1.77671,-5.893221,-1.1786442,5,2013.96,2014.29
1623,4,"1623-4-15 00:00:00",1623.29,-2.62631909278116,-2.528333,-5.786407,-1.92880233333333,3,1623.12,1623.29
1589,4,"1589-4-15 00:00:00",1589.29,-2.56981639090605,-1.992969,-5.763881,-1.92129366666667,3,1589.12,1589.29
1753,1,"1753-1-15 00:00:00",1753.04,-1.46201222210656,-1.696463,-5.751076,-1.1502152,5,1752.79,1753.12
1890,3,"1890-3-15 00:00:00",1890.21,-2.34719806074821,-2,-5.689432,-1.89647733333333,3,1890.12,1890.29
1852,4,"1852-4-15 00:00:00",1852.29,-2.04302769591144,-2.014091,-5.50706,-1.83568666666667,3,1852.21,1852.38
1607,1,"1607-1-15 00:00:00",1607.04,-2.91995396156713,-2,-5.5,-1.83333333333333,3,1606.96,1607.12
1747,4,"1747-4-15 00:00:00",1747.29,-2.5478055118166,-2,-5.5,-1.83333333333333,3,1747.21,1747.38
1748,2,"1748-2-15 00:00:00",1748.12,-1.89002810522929,-2,-5.5,-1.83333333333333,3,1748.04,1748.21
1595,2,"1595-2-15 00:00:00",1595.12,-2.68054509992643,-2.112398,-5.497854,-1.832618,3,1594.96,1595.12
1541,6,"1541-6-15 00:00:00",1541.46,-2.36514003487942,-2,-5.492969,-1.83098966666667,3,1541.38,1541.54
1711,6,"1711-6-15 00:00:00",1711.46,-2.39369839744267,-2,-5.492969,-1.83098966666667,3,1711.38,1711.54
1766,12,"1766-12-15 00:00:00",1766.96,-2.88190014945275,-2,-5.492969,-1.83098966666667,3,1766.88,1767.04
1946,4,"1946-4-15 00:00:00",1946.29,-2.38918114810468,-2,-5.492969,-1.83098966666667,3,1946.21,1946.38
2020,5,"2020-5-15 00:00:00",2020.38,-1.32710642542832,-2,-5.451364,-1.0902728,5,2020.29,2020.62
1859,3,"1859-3-15 00:00:00",1859.21,-2.29219424812802,-2.009837,-5.395293,-1.798431,3,1859.04,1859.21
1859,8,"1859-8-15 00:00:00",1859.62,-2.61520831827081,-2,-5.387426,-1.79580866666667,3,1859.54,1859.71
1775,6,"1775-6-15 00:00:00",1775.46,-2.44816590104386,-1.992969,-5.378425,-1.79280833333333,3,1775.29,1775.46
1785,3,"1785-3-15 00:00:00",1785.21,-2.29110632603808,-1.992969,-5.378425,-1.79280833333333,3,1785.04,1785.21
1811,5,"1811-5-15 00:00:00",1811.38,-2.07523026764035,-1.992969,-5.378425,-1.79280833333333,3,1811.21,1811.38
1893,1,"1893-1-15 00:00:00",1893.04,-2.17570300685077,-1.992969,-5.378425,-1.79280833333333,3,1892.88,1893.04
1790,5,"1790-5-15 00:00:00",1790.38,-2.24322146939054,-2.112398,-5.116338,-1.705446,3,1790.29,1790.46
1594,1,"1594-1-15 00:00:00",1594.04,-2.38019476356641,-1.885456,-5.083889,-1.69462966666667,3,1593.96,1594.12
1619,6,"1619-6-15 00:00:00",1619.46,-2.29881679619076,-2,-5.00197,-1.66732333333333,3,1619.38,1619.54
